final_corruption_rate,final_mean_integrity,total_extractions,integrity_mean,base_detection_prob,n_enforcers,oversight_structure,integrity_decay,corruption_contagion,seed
1.0,0.009150320393622203,15242,4.0,0.2,100,hierarchical,True,True,5
1.0,0.00727633648570808,15160,4.0,0.2,100,hierarchical,True,True,6
1.0,0.03293186096942889,15298,4.0,0.2,100,hierarchical,True,True,7
1.0,0.009662895280628215,15146,4.0,0.2,100,hierarchical,True,True,8
1.0,0.06351528557002607,15095,4.0,0.2,100,hierarchical,True,True,9
1.0,0.06068743939045031,12506,4.0,0.3,100,hierarchical,True,True,0
1.0,0.18737400474950408,12099,4.0,0.3,100,hierarchical,True,True,1
1.0,0.09362061899947355,12618,4.0,0.3,100,hierarchical,True,True,2
1.0,0.054374969985389744,12797,4.0,0.3,100,hierarchical,True,True,3
1.0,0.06563049035184132,12338,4.0,0.3,100,hierarchical,True,True,4
1.0,0.10247290300527251,12492,4.0,0.3,100,hierarchical,True,True,5
1.0,0.16048853900362048,12285,4.0,0.3,100,hierarchical,True,True,6
1.0,0.12427064543591528,12423,4.0,0.3,100,hierarchical,True,True,7
1.0,0.19843789033933568,12005,4.0,0.3,100,hierarchical,True,True,8
1.0,0.1717697785399042,12281,4.0,0.3,100,hierarchical,True,True,9
1.0,0.30143696511893675,9615,4.0,0.4,100,hierarchical,True,True,0
1.0,0.18107328905010708,10140,4.0,0.4,100,hierarchical,True,True,1
1.0,0.2052614017115194,10140,4.0,0.4,100,hierarchical,True,True,2
1.0,0.17396061939042365,10233,4.0,0.4,100,hierarchical,True,True,3
1.0,0.2704393287860324,9787,4.0,0.4,100,hierarchical,True,True,4
1.0,0.33465054672061006,9519,4.0,0.4,100,hierarchical,True,True,5
1.0,0.20976346079753594,9843,4.0,0.4,100,hierarchical,True,True,6
1.0,0.26767546835525624,9866,4.0,0.4,100,hierarchical,True,True,7
1.0,0.3355744845735347,9636,4.0,0.4,100,hierarchical,True,True,8
1.0,0.19929408183329908,9893,4.0,0.4,100,hierarchical,True,True,9
1.0,0.41031794720421,7779,4.0,0.5,100,hierarchical,True,True,0
1.0,0.39892119029639717,7931,4.0,0.5,100,hierarchical,True,True,1
1.0,0.45882257836389767,7992,4.0,0.5,100,hierarchical,True,True,2
1.0,0.3324517432548306,8099,4.0,0.5,100,hierarchical,True,True,3
1.0,0.4381014524114471,7707,4.0,0.5,100,hierarchical,True,True,4
1.0,0.41056917119109215,7883,4.0,0.5,100,hierarchical,True,True,5
1.0,0.3937842588899246,7835,4.0,0.5,100,hierarchical,True,True,6
1.0,0.4298301358927022,7990,4.0,0.5,100,hierarchical,True,True,7
1.0,0.3905690147673493,7888,4.0,0.5,100,hierarchical,True,True,8
1.0,0.4444458570998276,7793,4.0,0.5,100,hierarchical,True,True,9
1.0,0.48536344776948165,6356,4.0,0.6,100,hierarchical,True,True,0
1.0,0.3856183616294288,6648,4.0,0.6,100,hierarchical,True,True,1
1.0,0.41917823694167083,6760,4.0,0.6,100,hierarchical,True,True,2
1.0,0.3619086748082057,7005,4.0,0.6,100,hierarchical,True,True,3
1.0,0.5697559571670364,6334,4.0,0.6,100,hierarchical,True,True,4
1.0,0.40845956720896054,6590,4.0,0.6,100,hierarchical,True,True,5
1.0,0.4155685431704118,6489,4.0,0.6,100,hierarchical,True,True,6
1.0,0.3551826194382328,6754,4.0,0.6,100,hierarchical,True,True,7
1.0,0.42767825261982295,6390,4.0,0.6,100,hierarchical,True,True,8
1.0,0.43037634546328435,6239,4.0,0.6,100,hierarchical,True,True,9
0.99,0.25534793800162187,5582,4.0,0.7,100,hierarchical,True,True,0
0.98,0.2793333769995196,5736,4.0,0.7,100,hierarchical,True,True,1
0.99,0.32782709576800373,5793,4.0,0.7,100,hierarchical,True,True,2
1.0,0.2726195250289848,5969,4.0,0.7,100,hierarchical,True,True,3
1.0,0.24764584797137865,5642,4.0,0.7,100,hierarchical,True,True,4
0.99,0.20965412419679252,5729,4.0,0.7,100,hierarchical,True,True,5
0.97,0.264478215601184,5464,4.0,0.7,100,hierarchical,True,True,6
0.98,0.27497772322733993,5757,4.0,0.7,100,hierarchical,True,True,7
0.99,0.26125546803785255,5512,4.0,0.7,100,hierarchical,True,True,8
0.97,0.26087328117367753,5294,4.0,0.7,100,hierarchical,True,True,9
1.0,0.010976832192444741,16319,5.0,0.1,100,hierarchical,True,True,0
1.0,0.008046219980519494,16379,5.0,0.1,100,hierarchical,True,True,1
1.0,0.0022251378348423995,16824,5.0,0.1,100,hierarchical,True,True,2
1.0,0.008644361815023836,16671,5.0,0.1,100,hierarchical,True,True,3
1.0,0.059352398465279475,16256,5.0,0.1,100,hierarchical,True,True,4
